route_id,route_short_name,route_long_name,route_type
B8034,B8034,B8034,3
B8274,B8274,B8274,3
B8384,B8384,B8384,3
B8644,B8644,B8644,3
B8724,B8724,B8724,3
M2383,M2383,M2383,3
M2483,M2483,M2483,3
M2533,M2533,M2533,3
M2683,M2683,M2683,3
M2703,M2703,M2703,3
M2803,M2803,M2803,3
M2833,M2833,M2833,3
M2943,M2943,M2943,3
M3173,M3173,M3173,3
M3263,M3263,M3263,3
M3313,M3313,M3313,3
M3323,M3323,M3323,3
M3363,M3363,M3363,3
M3723,M3723,M3723,3
M4093,M4093,M4093,3
M4143,M4143,M4143,3
M4393,M4393,M4393,3
M4513,M4513,M4513,3
M4583,M4583,M4583,3
M4833,M4833,M4833,3
0001A,0001A,0001A,3
0002B,0002B,0002B,3
0003B,0003B,0003B,3
00155,00155,00155,3
00180,00180,00180,3
00300,00300,00300,3
00340,00340,00340,3
00460,00460,00460,3
00620,00620,00620,3
00640,00640,00640,3
00660,00660,00660,3
00710,00710,00710,3
00725,00725,00725,3
01040,01040,01040,3
01070,01070,01070,3
02010,02010,02010,3
02040,02040,02040,3
02140,02140,02140,3
03090,03090,03090,3
03160,03160,03160,3
03330,03330,03330,3
03370,03370,03370,3
03380,03380,03380,3
03620,03620,03620,3
03790,03790,03790,3
03820,03820,03820,3
03910,03910,03910,3
06130,06130,06130,3
06200,06200,06200,3
06210,06210,06210,3
06240,06240,06240,3
06310,06310,06310,3
06550,06550,06550,3
07040,07040,07040,3
07890,07890,07890,3
08660,08660,08660,3
09070,09070,09070,3
09290,09290,09290,3
09350,09350,09350,3
09560,09560,09560,3
09780,09780,09780,3
0E162,0E162,0E162,3
0E252,0E252,0E252,3
968B0,968B0,968B0,3
B6044,B6044,B6044,3
B6464,B6464,B6464,3
B6594,B6594,B6594,3
B6684,B6684,B6684,3
B7084,B7084,B7084,3
B7094,B7094,B7094,3
B7164,B7164,B7164,3
B7374,B7374,B7374,3
B7434,B7434,B7434,3
B7504,B7504,B7504,3
B7534,B7534,B7534,3
B8184,B8184,B8184,3
B8614,B8614,B8614,3
B8684,B8684,B8684,3
B8704,B8704,B8704,3
M2033,M2033,M2033,3
M2113,M2113,M2113,3
M2213,M2213,M2213,3
M2263,M2263,M2263,3
M2303,M2303,M2303,3
M2313,M2313,M2313,3
M2363,M2363,M2363,3
M2373,M2373,M2373,3
M2543,M2543,M2543,3
M2623,M2623,M2623,3
M2633,M2633,M2633,3
M2713,M2713,M2713,3
M2733,M2733,M2733,3
M2793,M2793,M2793,3
M2843,M2843,M2843,3
M2933,M2933,M2933,3
M3003,M3003,M3003,3
M3143,M3143,M3143,3
M3193,M3193,M3193,3
M3243,M3243,M3243,3
M3333,M3333,M3333,3
M3633,M3633,M3633,3
M3763,M3763,M3763,3
M3863,M3863,M3863,3
M3933,M3933,M3933,3
M4073,M4073,M4073,3
M4133,M4133,M4133,3
M4193,M4193,M4193,3
M4223,M4223,M4223,3
M4233,M4233,M4233,3
M4243,M4243,M4243,3
M4273,M4273,M4273,3
M4323,M4323,M4323,3
M4423,M4423,M4423,3
M4493,M4493,M4493,3
M4533,M4533,M4533,3
M4593,M4593,M4593,3
M4633,M4633,M4633,3
M4723,M4723,M4723,3
M4733,M4733,M4733,3
00020,00020,00020,3
0002C,0002C,0002C,3
00030,00030,00030,3
00046,00046,00046,3
00050,00050,00050,3
0006C,0006C,0006C,3
00080,00080,00080,3
0008C,0008C,0008C,3
00170,00170,00170,3
00215,00215,00215,3
00235,00235,00235,3
00430,00430,00430,3
00610,00610,00610,3
00680,00680,00680,3
00750,00750,00750,3
00815,00815,00815,3
00830,00830,00830,3
00865,00865,00865,3
00900,00900,00900,3
00E12,00E12,00E12,3
00E42,00E42,00E42,3
02050,02050,02050,3
02070,02070,02070,3
02130,02130,02130,3
02200,02200,02200,3
02230,02230,02230,3
02330,02330,02330,3
02350,02350,02350,3
02420,02420,02420,3
03120,03120,03120,3
03130,03130,03130,3
03200,03200,03200,3
03280,03280,03280,3
03510,03510,03510,3
03570,03570,03570,3
06390,06390,06390,3
06500,06500,06500,3
06530,06530,06530,3
06560,06560,06560,3
07800,07800,07800,3
08020,08020,08020,3
08220,08220,08220,3
09230,09230,09230,3
09260,09260,09260,3
09320,09320,09320,3
0E112,0E112,0E112,3
0E192,0E192,0E192,3
103B0,103B0,103B0,3
B6184,B6184,B6184,3
B6604,B6604,B6604,3
B6654,B6654,B6654,3
B6694,B6694,B6694,3
B6714,B6714,B6714,3
B6734,B6734,B6734,3
B6834,B6834,B6834,3
B6914,B6914,B6914,3
B7134,B7134,B7134,3
B7204,B7204,B7204,3
B7464,B7464,B7464,3
B7814,B7814,B7814,3
B8204,B8204,B8204,3
B8394,B8394,B8394,3
B8494,B8494,B8494,3
K1130,K1130,K1130,3
K3180,K3180,K3180,3
K3590,K3590,K3590,3
M2043,M2043,M2043,3
M2123,M2123,M2123,3
M2173,M2173,M2173,3
M2233,M2233,M2233,3
M2253,M2253,M2253,3
M2283,M2283,M2283,3
M2503,M2503,M2503,3
M2573,M2573,M2573,3
M2643,M2643,M2643,3
M2723,M2723,M2723,3
M2883,M2883,M2883,3
M2923,M2923,M2923,3
M3133,M3133,M3133,3
M3153,M3153,M3153,3
M3203,M3203,M3203,3
M3253,M3253,M3253,3
M3433,M3433,M3433,3
M3513,M3513,M3513,3
M3583,M3583,M3583,3
M3603,M3603,M3603,3
M3643,M3643,M3643,3
M3703,M3703,M3703,3
M3733,M3733,M3733,3
M3903,M3903,M3903,3
M3923,M3923,M3923,3
M4053,M4053,M4053,3
M4253,M4253,M4253,3
M4313,M4313,M4313,3
M4353,M4353,M4353,3
M4473,M4473,M4473,3
M4483,M4483,M4483,3
M4503,M4503,M4503,3
M4523,M4523,M4523,3
M4573,M4573,M4573,3
M4653,M4653,M4653,3
M4743,M4743,M4743,3
M4773,M4773,M4773,3
M4803,M4803,M4803,3
00040,00040,00040,3
0009C,0009C,0009C,3
00185,00185,00185,3
00320,00320,00320,3
00360,00360,00360,3
00385,00385,00385,3
00440,00440,00440,3
00490,00490,00490,3
00625,00625,00625,3
00790,00790,00790,3
00820,00820,00820,3
00935,00935,00935,3
00955,00955,00955,3
01030,01030,01030,3
01220,01220,01220,3
02120,02120,02120,3
02160,02160,02160,3
02180,02180,02180,3
02340,02340,02340,3
02360,02360,02360,3
03220,03220,03220,3
03230,03230,03230,3
03240,03240,03240,3
03250,03250,03250,3
03630,03630,03630,3
03870,03870,03870,3
06100,06100,06100,3
06120,06120,06120,3
06150,06150,06150,3
07070,07070,07070,3
07230,07230,07230,3
07270,07270,07270,3
07590,07590,07590,3
07810,07810,07810,3
08360,08360,08360,3
08680,08680,08680,3
08810,08810,08810,3
09390,09390,09390,3
09770,09770,09770,3
09800,09800,09800,3
B6054,B6054,B6054,3
B6454,B6454,B6454,3
B6484,B6484,B6484,3
B6824,B6824,B6824,3
B6854,B6854,B6854,3
B6884,B6884,B6884,3
B6934,B6934,B6934,3
B7314,B7314,B7314,3
B7334,B7334,B7334,3
B7414,B7414,B7414,3
B7754,B7754,B7754,3
B7764,B7764,B7764,3
B8174,B8174,B8174,3
B8434,B8434,B8434,3
B8504,B8504,B8504,3
M2243,M2243,M2243,3
M2343,M2343,M2343,3
M2653,M2653,M2653,3
M2673,M2673,M2673,3
M2693,M2693,M2693,3
M2743,M2743,M2743,3
M2753,M2753,M2753,3
M2763,M2763,M2763,3
M2813,M2813,M2813,3
M2853,M2853,M2853,3
M3013,M3013,M3013,3
M3103,M3103,M3103,3
M3373,M3373,M3373,3
M3383,M3383,M3383,3
M3393,M3393,M3393,3
M3403,M3403,M3403,3
M3463,M3463,M3463,3
M3913,M3913,M3913,3
M4213,M4213,M4213,3
M4263,M4263,M4263,3
M4363,M4363,M4363,3
M4383,M4383,M4383,3
M4403,M4403,M4403,3
M4443,M4443,M4443,3
M4783,M4783,M4783,3
M4843,M4843,M4843,3
00166,00166,00166,3
00195,00195,00195,3
00225,00225,00225,3
00245,00245,00245,3
00250,00250,00250,3
00330,00330,00330,3
00570,00570,00570,3
00720,00720,00720,3
00805,00805,00805,3
00E22,00E22,00E22,3
00E82,00E82,00E82,3
01010,01010,01010,3
02260,02260,02260,3
03028,03028,03028,3
03210,03210,03210,3
03260,03260,03260,3
03360,03360,03360,3
03390,03390,03390,3
03520,03520,03520,3
03660,03660,03660,3
03720,03720,03720,3
03760,03760,03760,3
06270,06270,06270,3
07940,07940,07940,3
08120,08120,08120,3
08820,08820,08820,3
09280,09280,09280,3
09630,09630,09630,3
0E122,0E122,0E122,3
0E202,0E202,0E202,3
B6214,B6214,B6214,3
B6294,B6294,B6294,3
B6344,B6344,B6344,3
B6414,B6414,B6414,3
B6534,B6534,B6534,3
B6584,B6584,B6584,3
B6704,B6704,B6704,3
B6924,B6924,B6924,3
B6964,B6964,B6964,3
B7114,B7114,B7114,3
B7234,B7234,B7234,3
B7254,B7254,B7254,3
B7264,B7264,B7264,3
B7444,B7444,B7444,3
B7684,B7684,B7684,3
B7844,B7844,B7844,3
B8424,B8424,B8424,3
B8544,B8544,B8544,3
M2023,M2023,M2023,3
M2223,M2223,M2223,3
M2323,M2323,M2323,3
M2353,M2353,M2353,3
M2423,M2423,M2423,3
M2433,M2433,M2433,3
M2553,M2553,M2553,3
M2593,M2593,M2593,3
M2863,M2863,M2863,3
M2893,M2893,M2893,3
M3053,M3053,M3053,3
M3093,M3093,M3093,3
M3223,M3223,M3223,3
M3303,M3303,M3303,3
M3453,M3453,M3453,3
M3553,M3553,M3553,3
M3663,M3663,M3663,3
M3743,M3743,M3743,3
M3783,M3783,M3783,3
M3943,M3943,M3943,3
M3973,M3973,M3973,3
M4013,M4013,M4013,3
M4023,M4023,M4023,3
M4083,M4083,M4083,3
M4153,M4153,M4153,3
M4163,M4163,M4163,3
M4203,M4203,M4203,3
M4293,M4293,M4293,3
M4303,M4303,M4303,3
M4343,M4343,M4343,3
M4663,M4663,M4663,3
00015,00015,00015,3
0001B,0001B,0001B,3
00090,00090,00090,3
00120,00120,00120,3
00130,00130,00130,3
00210,00210,00210,3
00230,00230,00230,3
00370,00370,00370,3
00380,00380,00380,3
00395,00395,00395,3
00420,00420,00420,3
00600,00600,00600,3
00800,00800,00800,3
00925,00925,00925,3
01020,01020,01020,3
01080,01080,01080,3
02110,02110,02110,3
02370,02370,02370,3
03030,03030,03030,3
03070,03070,03070,3
03080,03080,03080,3
03110,03110,03110,3
03320,03320,03320,3
03348,03348,03348,3
03770,03770,03770,3
03830,03830,03830,3
03920,03920,03920,3
03980,03980,03980,3
06060,06060,06060,3
07200,07200,07200,3
09370,09370,09370,3
0E182,0E182,0E182,3
380A0,380A0,380A0,3
B6374,B6374,B6374,3
B6434,B6434,B6434,3
B6634,B6634,B6634,3
B6664,B6664,B6664,3
B6754,B6754,B6754,3
B6904,B6904,B6904,3
B7194,B7194,B7194,3
B7304,B7304,B7304,3
B7324,B7324,B7324,3
B7394,B7394,B7394,3
B7524,B7524,B7524,3
B7624,B7624,B7624,3
B7894,B7894,B7894,3
B7914,B7914,B7914,3
B7924,B7924,B7924,3
B8114,B8114,B8114,3
B8314,B8314,B8314,3
B8374,B8374,B8374,3
B8554,B8554,B8554,3
M2003,M2003,M2003,3
M2013,M2013,M2013,3
M2093,M2093,M2093,3
M2163,M2163,M2163,3
M2193,M2193,M2193,3
M2463,M2463,M2463,3
M2513,M2513,M2513,3
M2583,M2583,M2583,3
M2603,M2603,M2603,3
M2663,M2663,M2663,3
M2823,M2823,M2823,3
M2873,M2873,M2873,3
M2903,M2903,M2903,3
M2913,M2913,M2913,3
M3033,M3033,M3033,3
M3063,M3063,M3063,3
M3073,M3073,M3073,3
M3183,M3183,M3183,3
M3343,M3343,M3343,3
M3413,M3413,M3413,3
M3423,M3423,M3423,3
M3443,M3443,M3443,3
M3503,M3503,M3503,3
M3523,M3523,M3523,3
M3533,M3533,M3533,3
M3593,M3593,M3593,3
M3683,M3683,M3683,3
M3693,M3693,M3693,3
M3753,M3753,M3753,3
M3793,M3793,M3793,3
M3803,M3803,M3803,3
M3813,M3813,M3813,3
M3833,M3833,M3833,3
M3843,M3843,M3843,3
M3993,M3993,M3993,3
M4003,M4003,M4003,3
M4043,M4043,M4043,3
M4413,M4413,M4413,3
M4453,M4453,M4453,3
M4623,M4623,M4623,3
M4673,M4673,M4673,3
M4713,M4713,M4713,3
M4753,M4753,M4753,3
1,1,1,1
2,2,2,1
3,3,3,1
4,4,4,1
5,5,5,1
