shapeid,fromstop,tostop,fft,length
12a,1019,1006,2,0.05
12a,1006,1005,2,0.19
12b,1005,1021,2,0.1
12b,1021,1025,2,0.1
12b,1025,1042,2,0.12
12b,1042,1041,2,0.12
12b,1041,1040,2,0.07
12b,1040,1039,2,0.07
12b,1039,1038,2,0.17
12b,1038,1037,2,0.17
12b,1037,1036,2,0.18
12b,1036,1035,2,0.22
12b,1035,1034,2,0.09
12b,1034,410,2,0.15
12b,410,413,2,0.35
12b,413,414,2,0.14
12b,414,416,2,0.31
12b,416,419,2,0.42
12b,419,420,2,0.45
12b,420,421,2,0.18
12b,421,505,2,0.69
12b,505,509,2,0.54
12b,509,511,2,0.17
12b,511,522,2,0.79
12b,522,521,2,0.94
12b,521,520,2,0.67
13a,617,648,1,0.93
13a,648,649,1,0.33
13a,649,651,1,0.88
13a,651,650,5,0.81
13a,650,647,5,1.32
13a,647,641,1,1.01
13a,641,638,5,0.72
13a,638,637,1,0.38
13b,637,638,1,0.38
13b,638,641,5,0.72
13b,641,647,1,1.01
13b,647,648,1,0.77
13b,648,617,1,0.93
14a,365,361,5,1.34
14a,361,360,1,0.21
14a,360,359,1,0.6
14a,359,14a_360,1,0.6
14a,14a_360,14a_361,1,0.21
14a,14a_361,342,1,0.23
14a,342,338,1,0.67
14a,338,339,5,0.4
14a,339,347,5,2.45
14a,347,453,1,0.45
14a,453,454,1,0.63
14a,454,434,1,0.13
14a,434,455,1,0.18
14a,455,456,5,0.87
14a,456,457,1,0.87
14a,457,462,1,0.72
14a,462,465,5,1.26
14b,465,462,5,1.26
14b,462,457,1,0.72
14b,457,456,5,0.87
14b,456,455,5,0.87
14b,455,434,5,0.18
14b,434,454,1,0.13
14b,454,453,1,0.63
14b,453,347,1,0.45
14b,347,339,5,2.45
14b,339,338,5,0.4
14b,338,342,1,0.67
14b,342,361,1,0.23
14b,361,360,1,0.21
14b,360,359,1,0.6
14b,359,14b_360,1,0.6
14b,14b_360,14b_361,1,0.21
14b,14b_361,365,5,1.34
15ae,183,182,3,0.69
15ae,182,181,3,1.02
15ae,181,180,3,0.39
15ae,180,179,3,0.49
15ae,179,178,1,0.29
15ae,178,177,1,0.57
15ae,177,176,1,0.37
15ae,176,175,1,0.48
15ae,175,174,1,0.45
15ae,174,173,1,0.77
15ae,173,172,1,0.26
15ae,172,171,1,0.37
15ae,171,170,1,0.3
15ae,170,169,1,0.23
15ae,169,168,1,0.33
15ae,168,167,1,0.14
15ae,167,166,1,0.23
15ae,166,165,1,0.2
15ae,165,1055,1,0.37
15ae,1055,1059,1,0.53
15ae,1059,1051,1,0.24
15ae,1051,1050,1,0.11
15ae,1050,1047,1,0.07
15ae,1047,1046,1,0.09
15ae,1046,1045,3,0.07
15ae,1045,1044,3,0.11
15ae,1044,1043,3,0.1
15ae,1043,1042,3,0.18
15ae,1042,1025,3,0.12
15ae,1025,1021,3,0.1
15ae,1021,1005,3,0.1
15ae,1005,981,3,0.1
15ae,981,966,3,0.11
15ae,966,948,3,0.1
15ae,948,937,3,0.1
15ae,937,931,3,0.1
15ae,931,917,3,0.1
15ae,917,901,3,0.1
16a,181,180,2,0.39
16a,180,179,2,0.49
16a,179,178,2,0.29
16a,178,177,2,0.57
16a,177,176,2,0.37
16a,176,175,2,0.48
16a,175,174,2,0.45
16a,174,173,2,0.77
16a,173,172,2,0.26
16a,172,171,2,0.37
16a,171,170,2,0.3
16a,170,169,2,0.23
16a,169,168,2,0.33
16a,168,167,2,0.14
16a,167,166,2,0.23
16a,166,165,2,0.2
16a,165,1055,2,0.37
16a,1055,1059,2,0.53
16a,1059,1051,2,0.24
16a,1051,1050,2,0.11
16a,1050,1047,2,0.07
16a,1047,1046,2,0.09
16a,1046,1045,2,0.07
16a,1045,1044,2,0.11
16a,1044,1043,2,0.1
16a,1043,1042,2,0.18
16a,1042,1025,2,0.12
16a,1025,1021,2,0.1
16a,1021,1005,2,0.1
16a,1005,981,2,0.1
16a,981,966,2,0.11
16a,966,948,2,0.1
16a,948,937,2,0.1
16a,937,931,2,0.1
16a,931,917,2,0.1
16a,917,901,2,0.1
16a,901,898,2,0.27
16a,898,899,2,0.17
16a,899,887,2,0.21
16a,887,598,2,0.15
16a,598,599,2,0.35
16a,599,600,2,0.36
16a,600,601,2,0.42
16a,601,602,2,0.58
16a,602,603,2,0.16
16a,603,604,2,0.46
16a,604,605,2,0.24
16a,605,606,2,0.14
16a,606,607,2,0.37
16a,607,670,2,0.37
16b,670,607,2,0.37
16b,607,606,2,0.37
16b,606,605,2,0.14
16b,605,604,2,0.24
16b,604,603,2,0.46
16b,603,602,2,0.16
16b,602,601,2,0.58
16b,601,600,2,0.42
16b,600,599,2,0.36
16b,599,598,2,0.35
16b,598,887,2,0.15
16b,887,899,2,0.22
16b,899,898,2,0.17
16b,898,901,2,0.27
16b,901,917,2,0.1
16b,917,931,2,0.1
16b,931,937,2,0.1
16b,937,948,2,0.1
16b,948,966,2,0.1
16b,966,981,2,0.11
16b,981,1005,2,0.1
16b,1005,1021,2,0.1
16b,1021,1025,2,0.1
16b,1025,1042,2,0.12
16b,1042,1043,2,0.18
16b,1043,1044,2,0.1
16b,1044,1045,2,0.11
16b,1045,1046,2,0.07
16b,1046,1047,2,0.09
16b,1047,1050,2,0.07
16b,1050,1051,2,0.11
16b,1051,1059,2,0.24
16b,1059,1055,2,0.53
16b,1055,165,2,0.37
16b,165,166,2,0.2
16b,166,167,2,0.23
16b,167,168,2,0.14
16b,168,169,2,0.33
16b,169,170,2,0.23
16b,170,171,2,0.3
16b,171,172,2,0.37
16b,172,173,2,0.23
16b,173,174,2,0.77
16b,174,175,2,0.45
16b,175,176,2,0.48
16b,176,177,2,0.37
16b,177,178,2,0.57
16b,178,179,2,0.29
16b,179,180,2,0.49
16b,180,181,2,0.39
17a,183,182,2,0.69
17a,182,181,2,1.02
17a,181,180,2,0.39
17a,180,179,2,0.49
17a,179,178,2,0.29
17a,178,177,2,0.57
17a,177,176,2,0.37
17a,176,175,2,0.48
17a,175,174,2,0.45
17a,174,173,2,0.77
17a,173,172,2,0.26
17a,172,171,2,0.37
17a,171,170,2,0.3
17a,170,169,2,0.23
17a,169,168,2,0.33
17a,168,167,2,0.14
17a,167,166,2,0.23
17a,166,165,2,0.2
17a,165,1055,2,0.37
17a,1055,1059,2,0.53
17a,1059,1051,2,0.24
17a,1051,1050,2,0.11
17a,1050,1047,2,0.07
17a,1047,1046,2,0.09
17a,1046,1045,2,0.07
17a,1045,1044,2,0.11
17a,1044,1043,2,0.1
17a,1043,1042,2,0.18
17a,1042,1025,2,0.12
17a,1025,1021,2,0.1
17a,1021,1005,2,0.1
17a,1005,981,2,0.1
17a,981,966,2,0.11
17a,966,948,2,0.1
17a,948,937,2,0.1
17a,937,931,2,0.1
17a,931,917,2,0.1
17a,917,901,2,0.1
17a,901,898,2,0.27
17a,898,899,2,0.17
17a,899,887,2,0.21
17a,887,598,2,0.15
17a,598,599,2,0.35
17a,599,600,2,0.36
17a,600,601,2,0.42
17a,601,602,2,0.58
17a,602,603,2,0.16
17a,603,604,2,0.46
17a,604,605,2,0.24
17a,605,606,2,0.14
17a,606,607,2,0.37
17a,607,670,2,0.37
17b,670,607,2,0.37
17b,607,606,2,0.37
17b,606,605,2,0.14
17b,605,604,2,0.24
17b,604,603,2,0.46
17b,603,602,2,0.16
17b,602,601,2,0.58
17b,601,600,2,0.42
17b,600,599,2,0.36
17b,599,598,2,0.35
17b,598,887,2,0.15
17b,887,899,2,0.22
17b,899,898,2,0.17
17b,898,901,2,0.27
17b,901,917,2,0.1
17b,917,931,2,0.1
17b,931,937,2,0.1
17b,937,948,2,0.1
17b,948,966,2,0.1
17b,966,981,2,0.11
17b,981,1005,2,0.1
17b,1005,1021,2,0.1
17b,1021,1025,2,0.1
17b,1025,1042,2,0.12
17b,1042,1043,2,0.18
17b,1043,1044,2,0.1
17b,1044,1045,2,0.11
17b,1045,1046,2,0.07
17b,1046,1047,2,0.09
17b,1047,1050,2,0.07
17b,1050,1051,2,0.11
17b,1051,1059,2,0.24
17b,1059,1055,2,0.53
17b,1055,165,2,0.37
17b,165,166,2,0.2
17b,166,167,2,0.23
17b,167,168,2,0.14
17b,168,169,2,0.33
17b,169,170,2,0.23
17b,170,171,2,0.3
17b,171,172,2,0.37
17b,172,173,2,0.23
17b,173,174,2,0.77
17b,174,175,2,0.45
17b,175,176,2,0.48
17b,176,177,2,0.37
17b,177,178,2,0.57
17b,178,179,2,0.29
17b,179,180,2,0.49
17b,180,181,2,0.39
17b,181,182,2,1.02
17b,182,183,2,0.69
18a,208,209,5,0.32
18a,209,180,2,2.11
18a,180,179,2,0.49
18a,179,178,2,0.29
18a,178,177,2,0.57
18a,177,176,2,0.37
18a,176,175,2,0.48
18a,175,174,2,0.45
18a,174,173,2,0.77
18a,173,172,2,0.26
18a,172,171,2,0.37
18a,171,170,2,0.3
18a,170,169,2,0.23
18a,169,168,2,0.33
18a,168,167,2,0.14
18a,167,166,2,0.23
18a,166,165,2,0.2
18a,165,1055,2,0.37
18a,1055,1059,2,0.53
18a,1059,1051,2,0.24
18a,1051,1050,2,0.11
18a,1050,1047,2,0.07
18a,1047,1046,2,0.09
18a,1046,1045,2,0.07
18a,1045,1044,2,0.11
18a,1044,1043,2,0.1
18a,1043,1042,2,0.18
18a,1042,1025,2,0.12
18a,1025,1021,2,0.1
18a,1021,1005,2,0.1
18a,1005,981,2,0.1
18a,981,966,2,0.11
18a,966,948,2,0.1
18a,948,937,2,0.1
18a,937,931,2,0.1
18a,931,917,2,0.1
18a,917,901,2,0.1
18a,901,898,2,0.27
18a,898,899,2,0.17
18a,899,887,2,0.21
18a,887,598,2,0.15
18a,598,599,2,0.35
18a,599,600,2,0.36
18a,600,601,2,0.42
18a,601,602,2,0.58
18a,602,603,2,0.16
18a,603,604,2,0.46
18a,604,605,2,0.24
18a,605,606,2,0.14
18a,606,607,2,0.37
18a,607,670,2,0.37
18b,670,607,2,0.37
18b,607,606,2,0.37
18b,606,605,2,0.14
18b,605,604,2,0.24
18b,604,603,2,0.46
18b,603,602,2,0.16
18b,602,601,2,0.58
18b,601,600,2,0.42
18b,600,599,2,0.36
18b,599,598,2,0.35
18b,598,887,2,0.15
18b,887,899,2,0.22
18b,899,898,2,0.17
18b,898,901,2,0.27
18b,901,917,2,0.1
18b,917,931,2,0.1
18b,931,937,2,0.1
18b,937,948,2,0.1
18b,948,966,2,0.1
18b,966,981,2,0.11
18b,981,1005,2,0.1
18b,1005,1021,2,0.1
18b,1021,1025,2,0.1
18b,1025,1042,2,0.12
18b,1042,1043,2,0.18
18b,1043,1044,2,0.1
18b,1044,1045,2,0.11
18b,1045,1046,2,0.07
18b,1046,1047,2,0.09
18b,1047,1050,2,0.07
18b,1050,1051,2,0.11
18b,1051,1059,2,0.24
18b,1059,1055,2,0.53
18b,1055,165,2,0.37
18b,165,166,2,0.2
18b,166,167,2,0.23
18b,167,168,2,0.14
18b,168,169,2,0.33
18b,169,170,2,0.23
18b,170,171,2,0.3
18b,171,172,2,0.37
18b,172,173,2,0.23
18b,173,174,2,0.77
18b,174,175,2,0.45
18b,175,176,2,0.48
18b,176,177,2,0.37
18b,177,178,2,0.57
18b,178,179,2,0.29
18b,179,180,2,0.49
18b,180,209,5,2.11
18b,209,208,2,0.32
19a,343,342,2,0.57
19a,342,338,2,0.67
19a,338,337,2,0.53
19a,337,336,2,0.67
19a,336,332,2,0.59
19a,332,331,2,0.72
19a,331,330,2,0.53
19a,330,328,2,0.34
19a,328,327,2,0.41
19a,327,308,2,0.52
19a,308,305,2,0.26
19a,305,304,2,0.3
19a,304,412,2,0.38
19a,412,411,2,0.05
19a,411,410,2,0.1
19a,410,1034,2,0.18
19a,1034,1035,2,0.09
19a,1035,1036,2,0.22
19a,1036,1037,2,0.18
19a,1037,1038,2,0.17
19a,1038,1028,2,0.12
19a,1028,1027,2,0.08
19a,1027,1026,2,0.09
19a,1026,1025,2,0.24
19a,1025,1021,2,0.1
19a,1021,1005,2,0.1
19a,1005,981,2,0.1
19a,981,966,2,0.11
19a,966,948,2,0.1
19a,948,937,2,0.1
19a,937,931,2,0.1
19a,931,917,2,0.1
19a,917,916,2,0.27
19a,916,902,2,0.12
19a,902,903,2,0.14
19a,903,904,2,0.24
19a,904,886,2,0.1
19a,886,696,2,0.1
19a,696,695,2,0.3
19a,695,691,2,0.33
19a,691,690,2,0.39
19a,690,686,2,0.56
19a,686,683,2,0.16
19a,683,680,2,0.44
19a,680,676,2,0.37
19a,676,673,2,0.35
19a,673,675,2,0.18
19a,675,674,2,0.16
19a,674,664,2,0.17
19a,664,663,2,0.16
19a,663,662,2,0.54
19b,662,663,2,0.54
19b,663,664,2,0.16
19b,664,674,2,0.17
19b,674,675,2,0.16
19b,675,673,2,0.18
19b,673,676,2,0.35
19b,676,680,2,0.37
19b,680,683,2,0.44
19b,683,686,2,0.16
19b,686,690,2,0.56
19b,690,691,2,0.39
19b,691,695,2,0.33
19b,695,696,2,0.3
19b,696,886,2,0.1
19b,886,904,2,0.1
19b,904,903,2,0.24
19b,903,898,5,0.38
19b,898,901,2,0.27
19b,901,917,2,0.1
19b,917,931,2,0.1
19b,931,937,2,0.1
19b,937,948,2,0.1
19b,948,966,2,0.1
19b,966,981,2,0.11
19b,981,1005,2,0.1
19b,1005,1021,2,0.1
19b,1021,1025,2,0.1
19b,1025,1042,2,0.12
19b,1042,1041,2,0.12
19b,1041,1040,2,0.07
19b,1040,1039,2,0.07
19b,1039,1038,2,0.17
19b,1038,1037,2,0.17
19b,1037,1036,2,0.18
19b,1036,1035,2,0.22
19b,1035,1034,2,0.09
19b,1034,410,2,0.15
19b,410,411,2,0.1
19b,411,412,2,0.05
19b,412,304,2,0.38
19b,304,305,2,0.3
19b,305,308,2,0.26
19b,308,327,2,0.52
19b,327,328,2,0.41
19b,328,330,2,0.34
19b,330,331,2,0.53
19b,331,332,2,0.72
19b,332,336,2,0.59
19b,336,337,2,0.67
19b,337,338,2,0.53
19b,338,342,2,0.67
19b,342,343,2,0.57
1a,775,773,1,0.21
1a,773,787,1,0.46
1a,787,809,1,0.17
1a,809,808,5,0.62
1a,808,807,5,0.65
1a,807,806,5,0.61
1a,806,805,5,0.56
1a,805,803,5,0.62
1b,803,805,5,0.62
1b,805,806,5,0.56
1b,806,807,5,0.61
1b,807,808,5,0.65
1b,808,809,5,0.62
1b,809,787,1,0.17
1b,787,773,1,0.46
1b,773,775,1,0.21
20a,346,345,5,0.81
20a,345,344,5,1.05
20a,344,343,2,0.47
20a,343,342,2,0.57
20a,342,338,2,0.67
20a,338,337,2,0.53
20a,337,336,2,0.67
20a,336,332,2,0.59
20a,332,331,2,0.72
20a,331,330,2,0.53
20a,330,328,2,0.34
20a,328,327,2,0.41
20a,327,308,2,0.52
20a,308,305,2,0.26
20a,305,304,2,0.3
20a,304,412,2,0.38
20a,412,411,2,0.05
20a,411,410,2,0.1
20a,410,1034,2,0.18
20a,1034,1035,2,0.09
20a,1035,1036,2,0.22
20a,1036,1037,2,0.18
20a,1037,1038,2,0.17
20a,1038,1028,2,0.12
20a,1028,1027,2,0.08
20a,1027,1026,2,0.09
20a,1026,1025,2,0.24
20a,1025,1021,2,0.1
20a,1021,1005,2,0.1
20a,1005,981,2,0.1
20a,981,966,2,0.11
20a,966,948,2,0.1
20a,948,937,2,0.1
20a,937,931,2,0.1
20a,931,917,2,0.1
20a,917,916,2,0.27
20a,916,902,2,0.12
20a,902,903,2,0.14
20a,903,904,2,0.24
20a,904,886,2,0.1
20a,886,696,2,0.1
20a,696,695,2,0.3
20a,695,691,2,0.33
20a,691,690,2,0.39
20a,690,686,2,0.56
20a,686,683,2,0.16
20a,683,680,2,0.44
20a,680,676,2,0.37
20a,676,673,2,0.35
20a,673,675,2,0.18
20a,675,674,2,0.16
20a,674,664,2,0.17
20a,664,663,2,0.16
20a,663,662,2,0.54
20b,662,663,2,0.54
20b,663,664,2,0.16
20b,664,674,2,0.17
20b,674,675,2,0.16
20b,675,673,2,0.18
20b,673,676,2,0.35
20b,676,680,2,0.37
20b,680,683,2,0.44
20b,683,686,2,0.16
20b,686,690,2,0.56
20b,690,691,2,0.39
20b,691,695,2,0.33
20b,695,696,2,0.3
20b,696,886,2,0.1
20b,886,904,2,0.1
20b,904,903,2,0.24
20b,903,898,5,0.38
20b,898,901,2,0.27
20b,901,917,2,0.1
20b,917,931,2,0.1
20b,931,937,2,0.1
20b,937,948,2,0.1
20b,948,966,2,0.1
20b,966,981,2,0.11
20b,981,1005,2,0.1
20b,1005,1021,2,0.1
20b,1021,1025,2,0.1
20b,1025,1042,2,0.12
20b,1042,1041,2,0.12
20b,1041,1040,2,0.07
20b,1040,1039,2,0.07
20b,1039,1038,2,0.17
20b,1038,1037,2,0.17
20b,1037,1036,2,0.18
20b,1036,1035,2,0.22
20b,1035,1034,2,0.09
20b,1034,410,2,0.15
20b,410,411,2,0.1
20b,411,412,2,0.05
20b,412,304,2,0.38
20b,304,305,2,0.3
20b,305,308,2,0.26
20b,308,327,2,0.52
20b,327,328,2,0.41
20b,328,330,2,0.34
20b,330,331,2,0.53
20b,331,332,2,0.72
20b,332,336,2,0.59
20b,336,337,2,0.67
20b,337,338,2,0.53
20b,338,342,2,0.67
20b,342,343,2,0.57
20b,343,344,2,0.47
20b,344,345,5,1.05
20b,345,346,5,0.81
21a,351,350,2,0.49
21a,350,349,2,1.64
21a,349,348,2,0.28
21a,348,344,2,0.43
21a,344,343,2,0.47
21a,343,342,2,0.57
21a,342,338,2,0.67
21a,338,337,2,0.53
21a,337,336,2,0.67
21a,336,332,2,0.59
21a,332,331,2,0.72
21a,331,330,2,0.53
21a,330,328,2,0.34
21a,328,327,2,0.41
21a,327,308,2,0.52
21a,308,305,2,0.26
21a,305,304,2,0.3
21a,304,412,2,0.38
21a,412,411,2,0.05
21a,411,410,2,0.1
21a,410,1034,2,0.18
21a,1034,1035,2,0.09
21a,1035,1036,2,0.22
21a,1036,1037,2,0.18
21a,1037,1038,2,0.17
21a,1038,1028,2,0.12
21a,1028,1027,2,0.08
21a,1027,1026,2,0.09
21a,1026,1025,2,0.24
21a,1025,1021,2,0.1
21a,1021,1005,2,0.1
21a,1005,981,2,0.1
21a,981,966,2,0.11
21a,966,948,2,0.1
21a,948,937,2,0.1
21a,937,931,2,0.1
21a,931,917,2,0.1
21a,917,916,2,0.27
21a,916,902,2,0.12
21a,902,903,2,0.14
21a,903,904,2,0.24
21a,904,886,2,0.1
21a,886,696,2,0.1
21a,696,695,2,0.3
21a,695,691,2,0.33
21a,691,690,2,0.39
21a,690,686,2,0.56
21a,686,683,2,0.16
21a,683,680,2,0.44
21a,680,676,2,0.37
21a,676,673,2,0.35
21a,673,675,2,0.18
21a,675,674,2,0.16
21a,674,664,2,0.17
21a,664,663,2,0.16
21a,663,662,2,0.54
21b,662,663,2,0.54
21b,663,664,2,0.16
21b,664,674,2,0.17
21b,674,675,2,0.16
21b,675,673,2,0.18
21b,673,676,2,0.35
21b,676,680,2,0.37
21b,680,683,2,0.44
21b,683,686,2,0.16
21b,686,690,2,0.56
21b,690,691,2,0.39
21b,691,695,2,0.33
21b,695,696,2,0.3
21b,696,886,2,0.1
21b,886,904,2,0.1
21b,904,903,2,0.24
21b,903,898,5,0.38
21b,898,901,2,0.27
21b,901,917,2,0.1
21b,917,931,2,0.1
21b,931,937,2,0.1
21b,937,948,2,0.1
21b,948,966,2,0.1
21b,966,981,2,0.11
21b,981,1005,2,0.1
21b,1005,1021,2,0.1
21b,1021,1025,2,0.1
21b,1025,1042,2,0.12
21b,1042,1041,2,0.12
21b,1041,1040,2,0.07
21b,1040,1039,2,0.07
21b,1039,1038,2,0.17
21b,1038,1037,2,0.17
21b,1037,1036,2,0.18
21b,1036,1035,2,0.22
21b,1035,1034,2,0.09
21b,1034,410,2,0.15
21b,410,411,2,0.1
21b,411,412,2,0.05
21b,412,304,2,0.38
21b,304,305,2,0.3
21b,305,308,2,0.26
21b,308,327,2,0.52
21b,327,328,2,0.41
21b,328,330,2,0.34
21b,330,331,2,0.53
21b,331,332,2,0.72
21b,332,336,2,0.59
21b,336,337,2,0.67
21b,337,338,2,0.53
21b,338,342,2,0.67
21b,342,343,2,0.57
21b,343,344,2,0.47
21b,344,348,2,0.43
21b,348,349,2,0.28
21b,349,350,2,1.64
21b,350,351,2,0.49
22a,855,856,1,0.82
22a,856,857,1,0.94
22a,857,858,1,1.07
22a,858,842,5,0.92
22a,842,841,5,0.32
22b,841,842,5,0.32
22b,842,858,5,0.92
22b,858,857,1,1.07
22b,857,856,1,0.94
22b,856,855,1,0.82
23a,628,629,2,0.18
23a,629,631,2,0.44
23a,631,560,2,1.3
23a,560,561,2,0.56
23a,561,559,2,0.81
23a,559,558,2,0.5
23a,558,557,2,0.42
23a,557,556,2,1
23a,556,555,2,0.38
23a,555,554,2,0.36
23a,554,575,2,0.44
23a,575,576,2,0.86
23a,576,581,2,2.12
23a,581,582,2,0.24
23a,582,533,2,1.48
23a,533,532,2,0.44
23a,532,531,2,0.73
23a,531,530,2,0.76
23a,530,529,2,0.1
23a,529,528,2,0.21
23a,528,500,2,1.17
23a,500,499,2,0.34
23a,499,498,2,0.34
23a,498,437,2,0.37
23a,437,436,2,0.46
23a,436,423,2,0.7
23a,423,415,2,0.73
23a,415,414,2,0.23
23a,414,973,2,0.35
23a,973,1012,2,0.2
23a,1012,1011,2,0.17
