fromstop,tostop,fft,length,capacity
52,436,8.10936,0.42,0
52,498,7.53012,0.39,0
52,501,9.26784,0.48,0
52,503,9.26784,0.48,0
53,448,5.59932,0.29,0
53,449,5.59932,0.29,0
54,443,9.26784,0.48,0
54,450,6.17856,0.32,0
55,444,19.308,1,0
55,489,12.5502,0.65,0
55,491,6.17856,0.32,0
55,493,22.01112,1.14,0
56,442,19.308,1,0
56,1067,24.135,1.25,0
57,451,5.98548,0.31,0
58,452,17.76336,0.92,0
58,489,20.2734,1.05,0
59,458,6.17856,0.32,0
62,461,17.76336,0.92,0
62,465,7.7232,0.4,0
62,469,12.74328,0.66,0
63,456,12.74328,0.66,0
63,480,19.308,1,0
63,483,12.74328,0.66,0
64,462,9.84708,0.51,0
64,480,15.4464,0.8,0
65,472,7.7232,0.4,0
65,474,6.17856,0.32,0
66,508,6.17856,0.32,0
66,510,9.07476,0.47,0
66,513,6.7578,0.35,0
66,522,6.56472,0.34,0
67,523,10.23324,0.53,0
67,528,7.7232,0.4,0
68,521,6.7578,0.35,0
68,525,5.02008,0.26,0
69,514,6.56472,0.34,0
69,521,9.07476,0.47,0
70,531,5.98548,0.31,0
71,532,7.14396,0.37,0
71,536,10.81248,0.56,0
72,519,3.47544,0.18,0
72,527,5.59932,0.29,0
72,533,5.59932,0.29,0
73,515,7.7232,0.4,0
73,520,7.53012,0.39,0
73,526,10.6194,0.55,0
74,550,9.654,0.5,0
74,582,11.19864,0.58,0
76,552,14.86716,0.77,0
76,576,10.81248,0.56,0
76,577,5.59932,0.29,0
77,558,10.81248,0.56,0
77,570,9.07476,0.47,0
79,559,10.23324,0.53,0
79,568,5.59932,0.29,0
79,569,5.59932,0.29,0
80,599,5.59932,0.29,0
80,693,4.63392,0.24,0
80,694,4.63392,0.24,0
80,695,5.21316,0.27,0
81,592,9.26784,0.48,0
81,593,9.26784,0.48,0
81,595,9.26784,0.48,0
81,601,9.26784,0.48,0
82,600,5.59932,0.29,0
82,690,5.59932,0.29,0
82,692,5.59932,0.29,0
83,603,4.05468,0.21,0
84,605,9.84708,0.51,0
84,679,5.59932,0.29,0
84,680,9.84708,0.51,0
85,606,4.63392,0.24,0
85,670,2.8962,0.15,0
85,671,5.21316,0.27,0
85,678,3.66852,0.19,0
86,609,6.56472,0.34,0
87,666,6.17856,0.32,0
87,667,6.7578,0.35,0
88,611,9.26784,0.48,0
88,658,8.10936,0.42,0
89,615,6.17856,0.32,0
90,613,9.654,0.5,0
90,653,9.654,0.5,0
91,616,11.19864,0.58,0
91,649,10.6194,0.55,0
91,650,7.7232,0.4,0
92,619,13.90176,0.72,0
92,639,7.7232,0.4,0
92,640,10.23324,0.53,0
92,641,7.7232,0.4,0
94,618,13.32252,0.69,0
94,623,5.59932,0.29,0
94,624,5.59932,0.29,0
94,625,5.59932,0.29,0
94,626,5.59932,0.29,0
95,628,11.77788,0.61,0
95,630,5.59932,0.29,0
95,632,5.59932,0.29,0
95,633,5.59932,0.29,0
96,737,3.08928,0.16,0
96,738,4.05468,0.21,0
97,686,7.7232,0.4,0
97,687,7.7232,0.4,0
97,688,8.10936,0.42,0
97,699,8.6886,0.45,0
97,701,10.23324,0.53,0
98,698,8.6886,0.45,0
98,731,5.59932,0.29,0
98,734,6.56472,0.34,0
99,740,4.44084,0.23,0
99,742,5.98548,0.31,0
100,681,10.81248,0.56,0
100,716,12.35712,0.64,0
100,717,10.23324,0.53,0
100,725,12.35712,0.64,0
101,728,7.53012,0.39,0
101,744,7.53012,0.39,0
102,766,13.70868,0.71,0
103,664,7.7232,0.4,0
103,711,7.7232,0.4,0
104,721,4.63392,0.24,0
104,745,7.53012,0.39,0
104,749,7.53012,0.39,0
104,750,7.53012,0.39,0
105,709,7.14396,0.37,0
106,796,7.7232,0.4,0
106,801,13.32252,0.69,0
107,775,7.53012,0.39,0
107,776,7.14396,0.37,0
107,787,7.14396,0.37,0
108,779,5.21316,0.27,0
108,781,5.59932,0.29,0
109,769,7.14396,0.37,0
109,807,6.17856,0.32,0
110,818,9.26784,0.48,0
110,820,10.6194,0.55,0
110,823,8.6886,0.45,0
110,835,8.10936,0.42,0
111,815,9.654,0.5,0
111,824,6.56472,0.34,0
111,825,7.7232,0.4,0
112,825,8.6886,0.45,0
112,826,5.98548,0.31,0
113,793,6.7578,0.35,0
113,800,6.17856,0.32,0
114,791,11.19864,0.58,0
114,803,7.7232,0.4,0
114,804,7.7232,0.4,0
114,806,7.7232,0.4,0
114,822,20.08032,1.04,0
114,838,11.19864,0.58,0
115,835,11.19864,0.58,0
115,845,10.23324,0.53,0
115,846,7.7232,0.4,0
116,847,6.7578,0.35,0
116,848,4.05468,0.21,0
117,850,6.17856,0.32,0
117,851,6.17856,0.32,0
117,852,7.7232,0.4,0
118,856,6.56472,0.34,0
118,857,5.98548,0.31,0
119,854,7.14396,0.37,0
119,877,6.7578,0.35,0
119,878,6.7578,0.35,0
120,839,10.81248,0.56,0
120,843,16.21872,0.84,0
120,844,5.59932,0.29,0
120,858,16.21872,0.84,0
121,876,6.56472,0.34,0
122,874,8.10936,0.42,0
123,857,6.17856,0.32,0
124,872,7.7232,0.4,0
127,369,26.45196,1.37,0
131,653,7.7232,0.4,0
147,1037,4.44084,0.23,0
147,1039,4.44084,0.23,0
147,1061,4.44084,0.23,0
147,1062,4.05468,0.21,0
148,207,9.84708,0.51,0
149,248,10.6194,0.55,0
149,250,14.67408,0.76,0
149,252,6.17856,0.32,0
151,479,30.69972,1.59,0
171,11,7.7232,0.4,0
172,12,7.7232,0.4,0
174,14,9.26784,0.48,0
175,13,6.56472,0.34,0
176,15,5.59932,0.29,0
178,17,7.7232,0.4,0
181,18,13.12944,0.68,0
182,20,12.35712,0.64,0
191,17,6.37164,0.33,0
193,15,3.66852,0.19,0
193,17,10.81248,0.56,0
194,15,12.74328,0.66,0
195,14,7.7232,0.4,0
196,14,8.6886,0.45,0
198,12,8.6886,0.45,0
199,11,7.7232,0.4,0
206,20,23.55576,1.22,0
207,148,9.84708,0.51,0
208,18,13.32252,0.69,0
211,17,18.92184,0.98,0
229,19,9.654,0.5,0
231,16,10.23324,0.53,0
232,19,7.7232,0.4,0
237,16,6.17856,0.32,0
239,16,7.7232,0.4,0
241,25,6.17856,0.32,0
243,25,6.17856,0.32,0
244,25,4.63392,0.24,0
247,29,5.02008,0.26,0
248,29,4.05468,0.21,0
248,149,10.6194,0.55,0
252,149,6.17856,0.32,0
259,28,8.10936,0.42,0
260,31,15.4464,0.8,0
262,31,20.85264,1.08,0
263,31,7.7232,0.4,0
264,31,7.7232,0.4,0
275,30,6.7578,0.35,0
278,30,5.59932,0.29,0
281,32,5.98548,0.31,0
282,30,6.7578,0.35,0
282,32,5.98548,0.31,0
286,27,7.7232,0.4,0
293,26,7.7232,0.4,0
298,22,6.17856,0.32,0
300,24,9.654,0.5,0
301,24,8.30244,0.43,0
307,34,4.63392,0.24,0
308,33,5.59932,0.29,0
308,34,6.56472,0.34,0
309,33,7.14396,0.37,0
310,33,7.14396,0.37,0
313,24,8.30244,0.43,0
314,23,5.02008,0.26,0
318,35,4.63392,0.24,0
321,27,10.6194,0.55,0
326,33,6.56472,0.34,0
327,33,9.26784,0.48,0
330,36,6.17856,0.32,0
334,37,5.59932,0.29,0
336,41,5.02008,0.26,0
337,41,3.66852,0.19,0
338,42,9.84708,0.51,0
339,42,9.07476,0.47,0
340,24,5.59932,0.29,0
346,44,7.7232,0.4,0
347,44,10.23324,0.53,0
348,44,11.19864,0.58,0
351,46,9.84708,0.51,0
359,44,11.77788,0.61,0
362,39,4.44084,0.23,0
363,39,4.63392,0.24,0
364,40,4.63392,0.24,0
368,43,9.07476,0.47,0
369,127,26.45196,1.37,0
370,46,7.7232,0.4,0
379,43,5.59932,0.29,0
380,38,7.7232,0.4,0
381,38,7.7232,0.4,0
382,38,15.4464,0.8,0
387,38,19.88724,1.03,0
388,45,15.83256,0.82,0
390,45,7.7232,0.4,0
394,45,7.7232,0.4,0
397,45,7.53012,0.39,0
409,35,7.7232,0.4,0
416,47,4.63392,0.24,0
417,47,4.63392,0.24,0
418,47,12.35712,0.64,0
423,49,4.05468,0.21,0
425,48,5.21316,0.27,0
426,51,8.6886,0.45,0
427,50,9.84708,0.51,0
430,50,5.59932,0.29,0
431,50,5.59932,0.29,0
433,51,6.7578,0.35,0
436,52,8.10936,0.42,0
442,56,19.308,1,0
443,54,9.26784,0.48,0
444,55,19.308,1,0
448,53,5.59932,0.29,0
449,53,5.59932,0.29,0
450,54,6.17856,0.32,0
451,57,5.98548,0.31,0
452,58,17.76336,0.92,0
456,63,12.74328,0.66,0
458,59,6.17856,0.32,0
461,62,17.76336,0.92,0
462,64,9.84708,0.51,0
465,62,7.7232,0.4,0
469,62,12.74328,0.66,0
472,65,7.7232,0.4,0
474,65,6.17856,0.32,0
479,151,30.69972,1.59,0
480,63,19.308,1,0
480,64,15.4464,0.8,0
483,63,12.74328,0.66,0
485,58,17.76336,0.92,0
485,60,9.26784,0.48,0
486,58,5.59932,0.29,0
489,55,12.5502,0.65,0
489,58,20.2734,1.05,0
491,55,6.17856,0.32,0
493,55,22.01112,1.14,0
498,52,7.53012,0.39,0
501,52,9.26784,0.48,0
502,49,3.47544,0.18,0
503,52,9.26784,0.48,0
508,66,6.17856,0.32,0
510,66,9.07476,0.47,0
513,66,6.7578,0.35,0
514,69,6.56472,0.34,0
515,73,7.7232,0.4,0
520,73,7.53012,0.39,0
521,68,6.7578,0.35,0
521,69,9.07476,0.47,0
522,66,6.56472,0.34,0
523,67,10.23324,0.53,0
525,68,5.02008,0.26,0
526,73,10.6194,0.55,0
527,72,5.59932,0.29,0
528,67,7.7232,0.4,0
531,70,5.98548,0.31,0
532,71,7.14396,0.37,0
533,72,5.59932,0.29,0
534,72,3.47544,0.18,0
536,71,10.81248,0.56,0
550,74,9.654,0.5,0
552,76,14.86716,0.77,0
558,77,10.81248,0.56,0
559,79,10.23324,0.53,0
568,79,5.59932,0.29,0
569,79,5.59932,0.29,0
570,77,9.07476,0.47,0
576,76,10.81248,0.56,0
577,76,5.59932,0.29,0
582,74,11.19864,0.58,0
592,81,9.26784,0.48,0
593,81,9.26784,0.48,0
595,81,9.26784,0.48,0
599,80,5.59932,0.29,0
600,82,5.59932,0.29,0
601,81,9.26784,0.48,0
603,83,4.05468,0.21,0
605,84,9.84708,0.51,0
606,85,4.63392,0.24,0
609,86,6.56472,0.34,0
611,88,9.26784,0.48,0
613,90,9.654,0.5,0
615,89,6.17856,0.32,0
616,91,11.19864,0.58,0
618,94,13.32252,0.69,0
619,92,13.90176,0.72,0
623,94,5.59932,0.29,0
624,94,5.59932,0.29,0
625,94,5.59932,0.29,0
626,94,5.59932,0.29,0
628,95,11.77788,0.61,0
630,95,5.59932,0.29,0
632,95,5.59932,0.29,0
633,95,5.59932,0.29,0
639,92,7.7232,0.4,0
640,92,10.23324,0.53,0
641,92,7.7232,0.4,0
649,91,10.6194,0.55,0
650,91,7.7232,0.4,0
653,90,9.654,0.5,0
653,131,7.7232,0.4,0
658,88,8.10936,0.42,0
664,103,7.7232,0.4,0
666,87,6.17856,0.32,0
667,87,6.7578,0.35,0
670,85,2.8962,0.15,0
671,85,5.21316,0.27,0
678,85,3.66852,0.19,0
679,84,5.59932,0.29,0
680,84,9.84708,0.51,0
681,100,10.81248,0.56,0
686,97,7.7232,0.4,0
687,97,7.7232,0.4,0
688,97,8.10936,0.42,0
690,82,5.59932,0.29,0
692,82,5.59932,0.29,0
693,80,4.63392,0.24,0
694,80,4.63392,0.24,0
695,80,5.21316,0.27,0
698,98,8.6886,0.45,0
699,97,8.6886,0.45,0
701,97,10.23324,0.53,0
709,105,7.14396,0.37,0
711,103,7.7232,0.4,0
716,100,12.35712,0.64,0
717,100,10.23324,0.53,0
721,104,4.63392,0.24,0
725,100,12.35712,0.64,0
728,101,7.53012,0.39,0
731,98,5.59932,0.29,0
734,98,6.56472,0.34,0
737,96,3.08928,0.16,0
738,96,4.05468,0.21,0
740,99,4.44084,0.23,0
742,99,5.98548,0.31,0
744,101,7.53012,0.39,0
745,104,7.53012,0.39,0
749,104,7.53012,0.39,0
750,104,7.53012,0.39,0
766,102,13.70868,0.71,0
769,109,7.14396,0.37,0
775,107,7.53012,0.39,0
776,107,7.14396,0.37,0
779,108,5.21316,0.27,0
781,108,5.59932,0.29,0
783,10,7.7232,0.4,0
787,107,7.14396,0.37,0
791,114,11.19864,0.58,0
793,113,6.7578,0.35,0
796,106,7.7232,0.4,0
800,113,6.17856,0.32,0
801,106,13.32252,0.69,0
803,114,7.7232,0.4,0
804,114,7.7232,0.4,0
806,114,7.7232,0.4,0
807,109,6.17856,0.32,0
815,111,9.654,0.5,0
818,110,9.26784,0.48,0
820,110,10.6194,0.55,0
822,114,20.08032,1.04,0
823,110,8.6886,0.45,0
824,111,6.56472,0.34,0
825,111,7.7232,0.4,0
825,112,8.6886,0.45,0
826,112,5.98548,0.31,0
835,110,8.10936,0.42,0
835,115,11.19864,0.58,0
838,114,11.19864,0.58,0
839,120,10.81248,0.56,0
843,120,16.21872,0.84,0
844,120,5.59932,0.29,0
845,115,10.23324,0.53,0
846,115,7.7232,0.4,0
847,116,6.7578,0.35,0
848,116,4.05468,0.21,0
850,117,6.17856,0.32,0
851,117,6.17856,0.32,0
852,117,7.7232,0.4,0
854,119,7.14396,0.37,0
856,118,6.56472,0.34,0
857,118,5.98548,0.31,0
857,123,6.17856,0.32,0
858,120,16.21872,0.84,0
872,124,7.7232,0.4,0
874,122,8.10936,0.42,0
876,121,6.56472,0.34,0
877,119,6.7578,0.35,0
878,119,6.7578,0.35,0
892,5,5.02008,0.26,0
900,6,3.47544,0.18,0
901,6,4.05468,0.21,0
901,8,4.63392,0.24,0
905,8,4.05468,0.21,0
912,7,6.17856,0.32,0
916,8,4.44084,0.23,0
919,6,4.05468,0.21,0
922,5,5.98548,0.31,0
923,5,4.44084,0.23,0
932,8,4.44084,0.23,0
951,7,6.7578,0.35,0
952,7,6.17856,0.32,0
954,7,5.59932,0.29,0
958,7,6.7578,0.35,0
976,3,4.44084,0.23,0
979,4,3.47544,0.18,0
981,4,4.05468,0.21,0
985,2,4.44084,0.23,0
1000,2,4.44084,0.23,0
1003,2,6.56472,0.34,0
1007,4,3.47544,0.18,0
1010,3,4.44084,0.23,0
1017,4,3.47544,0.18,0
1019,4,3.47544,0.18,0
1023,2,4.63392,0.24,0
1024,2,4.44084,0.23,0
1025,4,4.05468,0.21,0
1027,4,4.05468,0.21,0
1032,3,3.66852,0.19,0
1037,147,4.44084,0.23,0
1039,147,4.44084,0.23,0
1042,1,4.63392,0.24,0
1046,1,4.63392,0.24,0
1046,2,4.63392,0.24,0
1053,9,5.59932,0.29,0
1057,10,11.77788,0.61,0
1058,9,1.9308,0.1,0
1059,9,5.59932,0.29,0
1060,1,5.98548,0.31,0
1061,147,4.44084,0.23,0
1062,147,4.05468,0.21,0
1067,56,24.135,1.25,0
